[PngImagePlugin.py:202] - 2023-08-16 21:22:09,837 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,837 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,837 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,837 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,837 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,837 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,838 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,838 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,838 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,838 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,838 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,838 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,838 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,838 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,838 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,838 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,839 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,839 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,839 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,839 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,839 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,839 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,839 - DEBUG - STREAM b'IDAT' 91 1063
[builder.pyw:425] - 2023-08-16 21:22:50,792 - INFO - Retrieved filename: sdssadas
[builder.pyw:394] - 2023-08-16 21:22:50,792 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-16 21:22:50,792 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-16 21:22:50,793 - INFO - Successfully changed config
[builder.pyw:598] - 2023-08-16 21:23:53,028 - ERROR - Error with building file: Too early to use font: no default root window
[builder.pyw:489] - 2023-08-16 21:23:57,780 - INFO - Successfully compiled sdssadas.exe with pyinstaller
[admin.py:92] - 2023-08-16 21:23:57,902 - INFO - Process handle <PyHANDLE:1604> returned code 0
[admin.py:29] - 2023-08-16 21:24:22,206 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-16 21:24:22,207 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-16 21:24:22,211 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\python.exe', 'builder.pyw']
[admin.py:80] - 2023-08-16 21:24:22,212 - INFO - Running command 'C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\python.exe' - 'builder.pyw'
[admin.py:29] - 2023-08-16 21:24:24,921 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,028 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,028 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,028 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,029 - DEBUG - STREAM b'sRGB' 41 1
